Date,Description,Category,Amount_MXN,Amount_USD,Source_File,Status
2025-10-24,Gonzalitos Taqueria S,Restaurante,384.10,,nubank-credit-2025-11.pdf,
2025-10-29,Caversaschico-Caversas (Argentina),Restaurante,340.56,,nubank-credit-2025-11.pdf,
2025-10-30,Moksha Coffee & Deli (Argentina),Restaurante,109.77,,nubank-credit-2025-11.pdf,
2025-11-02,Moksha Coffee & Deli (Argentina),Restaurante,66.71,,nubank-credit-2025-11.pdf,
2025-11-02,Moksha Coffee & Deli (Argentina),Restaurante,133.02,,nubank-credit-2025-11.pdf,
2025-11-03,Personal Flow (Argentina),Electrónicos,134.37,,nubank-credit-2025-11.pdf,
2025-11-03,Of,Otros,215.26,11.59,nubank-credit-2025-11.pdf,
2025-11-03,Caversaschico-Caversas (Argentina),Restaurante,331.55,,nubank-credit-2025-11.pdf,
2025-11-03,Jf Palermo (Argentina),Supermercado,161.07,,nubank-credit-2025-11.pdf,
2025-11-03,Of,Otros,103.45,5.57,nubank-credit-2025-11.pdf,
2025-11-04,Merpago*Realrock (Argentina),Restaurante,69.80,,nubank-credit-2025-11.pdf,
2025-11-07,Fruto Coffee Roasters (Argentina),Restaurante,93.10,,nubank-credit-2025-11.pdf,
2025-11-07,Festival Bar (Argentina),Restaurante,375.28,,nubank-credit-2025-11.pdf,
2025-11-10,Pop Home Electro (Argentina),Hogar,39.56,,nubank-credit-2025-11.pdf,
2025-11-10,Pop Home Electro (Argentina),Hogar,26.85,,nubank-credit-2025-11.pdf,
2025-11-10,Brasero Atlantico (Argentina),Restaurante,893.42,,nubank-credit-2025-11.pdf,
2025-11-10,Propina*Brasero Atlant (Argentina),Restaurante,178.68,,nubank-credit-2025-11.pdf,
2025-11-12,Urban Six (Argentina),Ocio,666.73,,nubank-credit-2025-11.pdf,
2025-11-12,Caversaschico-Caversas (Argentina),Restaurante,145.68,,nubank-credit-2025-11.pdf,
2025-11-12,Caversaschico-Caversas (Argentina),Restaurante,669.86,,nubank-credit-2025-11.pdf,
2025-11-13,Pop Home Electro (Argentina),Hogar,40.00,,nubank-credit-2025-11.pdf,
2025-11-16,Of,Otros,105.84,5.79,nubank-credit-2025-11.pdf,
