Date,Description,Category,Amount_MXN,Amount_USD,Source_File,Account_Type,Status
2025-01-01,AEROMEXICO PAC USD      IRVINE,,469.43,,2025-01.csv,credit,
2025-01-01,ANDAZ TOKYO -MINATO-KU  *,,34322.60,,2025-01.csv,credit,
2025-01-01,GOOGLE *GSUITE_ROMERO.  CC@GOOGLE.COM,,144.00,,2025-01.csv,credit,
2025-01-01,OPENPAY*STARLINK        CIUDAD DE MEXIC,,1100.00,,2025-01.csv,credit,
2025-01-01,RAPPI*RAPPI MEXICO      MEXICO CITY,,20.00,,2025-01.csv,credit,
2025-01-01,RAPPI*RAPPI MEXICO      MEXICO CITY,,576.80,,2025-01.csv,credit,
2025-01-01,UBER TRIP               HTTPS://HELP.UB,,333.58,,2025-01.csv,credit,
2025-01-01,UBER TRIP               HTTPS://HELP.UB,,369.52,,2025-01.csv,credit,
2025-01-01,UBER TRIP               HTTPS://HELP.UB,,3832.92,,2025-01.csv,credit,
2025-01-02,AMAZON MX MARKETPLACE*A MEXICO CITY,,369.00,,2025-01.csv,credit,
2025-01-02,COMMANDO CONDESA        MEXICO,,30.00,,2025-01.csv,credit,
2025-01-02,GONZALITOS TAQUERIA S   CIUDAD DE MEX,,674.40,,2025-01.csv,credit,
2025-01-02,TDA TROUVE              CUAUHTEMOC,,2000.00,,2025-01.csv,credit,
2025-01-02,X CORP. PAID FEATURES   SAN FRANCISCO,,169.99,,2025-01.csv,credit,
2025-01-02,ZTL*QUENTIN CAFÉ        MEXICO,,130.00,,2025-01.csv,credit,
2025-01-02,Transfer to Karen,Transfer:Karen,8000.00,,banregio-2025-01.pdf,debit,
2025-01-03,AMAZON MX*AMAZON RETAIL MEXICO CITY,,987.18,,2025-01.csv,credit,
2025-01-03,APPLE.COM/BILL          CUPERTINO,,199.00,,2025-01.csv,credit,
2025-01-03,NETPAY*ROKAI RAMEN 1 RI Ciudad De Mexic,,1506.50,,2025-01.csv,credit,
2025-01-03,RAPPI*RAPPI MEXICO      MEXICO CITY,,1092.80,,2025-01.csv,credit,
2025-01-03,REST FREIMS II          CIUDAD DE MEX,,765.90,,2025-01.csv,credit,
2025-01-03,UBER TRIP               HTTPS://HELP.UB,,148.54,,2025-01.csv,credit,
2025-01-03,Transfer to Karen,Transfer:Karen,3000.00,,banregio-2025-01.pdf,debit,
2025-01-04,CGO AUT TELCEL REGION 8 MERIDA,,2485.71,,2025-01.csv,credit,
2025-01-04,CICATRIZ                CIUDAD DE MEX,,1362.75,,2025-01.csv,credit,
