Fecha,Fecha de Compra,Descripción,Importe,Monto en moneda extranjera,Tipo de Cambio,Información Adicional,Aparece en su Estado de Cuenta como,Dirección,Población/Provincia,Código postal,País,Referencia
22 Jan 2026,22 Jan 2026,CABLE Y COMU MORELIA SA CIUDAD DE MEXIC,719.38,,,RFCCCM010816UK4 /REF101485723564,CABLE Y COMU MORELIA SA CIUDAD DE MEXIC,"AV JAVIER BARROS SIERRA 540 TORREII
LOMAS DE SANTA FE
ALVARO OBREGON
MEXICO",,01219,MEXICO,'AT260220004000010269007'
22 Jan 2026,22 Jan 2026,CUOTA ANUAL MENSUALIDAD 03 DE 03,2774.48,,,,CUOTA ANUAL MENSUALIDAD 03 DE 03,,,,,'10000000011122999699920'
22 Jan 2026,22 Jan 2026,IVA APLICABLE,443.92,,,,IVA APLICABLE,,,,,'10000000011122999699920'
22 Jan 2026,22 Jan 2026,UBER EATS               HTTPS://HELP.UB,853.41,,,,UBER EATS               HTTPS://HELP.UB,"MR. TREUBLAAN 7
AMSTERDAM",,1097 DP,NETHERLANDS,'AT260220004000010282717'
21 Jan 2026,21 Jan 2026,SPOTIFY MX              MEXICO,139.00,,,,SPOTIFY MX              MEXICO,"""4TH FLOOR, 25 ARGYLL STREET""
LONDON",,W1F 7TU,UNITED KINGDOM,'AT260210004000010350795'
21 Jan 2026,22 Jan 2026,TARSNAP.COM             MAPLE RIDGE,358.46,20.00 USD,,,TARSNAP.COM             MAPLE RIDGE,"20915 GOLF LANE
MAPLE RIDGE",,V2X3M5,CANADA,'AT260220004000010281035'
21 Jan 2026,21 Jan 2026,UNITED PARCEL SERVICE D MEXICO CITY,4860.78,,,RFCUPS891122HV8 /REF1Z514A94049241220531,UNITED PARCEL SERVICE D MEXICO CITY,"EUGENIA 189
NARVARTE ORIENTE
NARVARTE ORIENTE
BENITO JUAREZ
MEXICO",,03020,MEXICO,'AT260210004000010339837'
20 Jan 2026,21 Jan 2026,TAQ LA OCHENTA Y NUEVE  CIUDAD DE MEX,275.00,,,RFCBBA830831LJ2 /REFOYRIOVD2PGSP,TAQ LA OCHENTA Y NUEVE  CIUDAD DE MEX,"C COLIMA 134
ROMA NORTE
DF
CIUDAD DE MEXICO CDMX",,06700,MEXICO,'AT260210004000010338663'
19 Jan 2026,20 Jan 2026,LE PAIN QUOTIDIEN ROMA  MEXICO,323.40,,,RFCOLP080326HW2 /REF000528,LE PAIN QUOTIDIEN ROMA  MEXICO,"MONTERREY 104
ROMA
CUAUHTEMOC
MEXICO",,06700,MEXICO,'AT260200004000010335984'
19 Jan 2026,19 Jan 2026,NETFLIX.COM             LOS GATOS,453.92,24.99 USD,,,NETFLIX.COM             LOS GATOS,"121 ALBRIGHT WAY
LOS GATOS
CA
MILPITAS",,95032-1815,UNITED STATES,'AT260190004000010322172'
18 Jan 2026,19 Jan 2026,*BODEGADEVICTORIA       CUAUHTEMOC,1707.75,,,RFCFDM020722442 /REF73767016018602610959,*BODEGADEVICTORIA       CUAUHTEMOC,"AV PARQUE ESPANA
CUAUHTEMOC",,06140,MEXICO,'AT260190004000010343415'
18 Jan 2026,18 Jan 2026,UBER TRIP               HTTPS://HELP.UB,104.61,,,,UBER TRIP               HTTPS://HELP.UB,"MR. TREUBLAAN 7
AMSTERDAM",,1097 DP,NETHERLANDS,'AT260180004000010277156'
17 Jan 2026,17 Jan 2026,BILLPOCKET*MADAI ANTARA MIGUEL HIDALG,801.55,,,RFCPLA120807BK0 /REF6377675,BILLPOCKET*MADAI ANTARA MIGUEL HIDALG,"""AV. EJERCITO NACIONAL MEXICANO NUM. 843,""
MIGUEL HIDALG",,11520,MEXICO,'AT260170003000010308505'
17 Jan 2026,18 Jan 2026,EL PALACIO HIERRO POLAN MEXICO,674.00,,,RFCPHI830429MG6 /REF000000006064,EL PALACIO HIERRO POLAN MEXICO,"AV MOLIERE 222
POLANCO II SECCION
MIGUEL HIDALGO
MEXICO",,11530,MEXICO,'AT260180004000010278642'
17 Jan 2026,18 Jan 2026,REST LINDY              MEXICO,3352.25,,,RFCTCI9904231T4 /REF731632663597,REST LINDY              MEXICO,"AV MEXICO 31
HIPODROMO
CUAUHTEMOC
MEXICO",,06100,MEXICO,'AT260180004000010277692'
17 Jan 2026,17 Jan 2026,UBER EATS               HTTPS://HELP.UB,1283.60,,,,UBER EATS               HTTPS://HELP.UB,"MR. TREUBLAAN 7
AMSTERDAM",,1097 DP,NETHERLANDS,'AT260170003000010316489'
17 Jan 2026,17 Jan 2026,UBER TRIP               HTTPS://HELP.UB,269.98,,,,UBER TRIP               HTTPS://HELP.UB,"MR. TREUBLAAN 7
AMSTERDAM",,1097 DP,NETHERLANDS,'AT260170003000010310195'
17 Jan 2026,18 Jan 2026,UBER TRIP               HTTPS://HELP.UB,358.33,,,,UBER TRIP               HTTPS://HELP.UB,"MR. TREUBLAAN 7
AMSTERDAM",,1097 DP,NETHERLANDS,'AT260180004000010276789'
17 Jan 2026,18 Jan 2026,WWW.MUBI.COM            NEW YORK,179.00,,,,WWW.MUBI.COM            NEW YORK,"215 PARK AVENUE SOUTH FL 12
NEW YORK",,10003,UNITED STATES,'AT260180004000010281042'
17 Jan 2026,18 Jan 2026,ZARA HOME ANTARA POLANC MEXICO,1403.00,,,RFCZHM040609ES5 /REF260170912180,ZARA HOME ANTARA POLANC MEXICO,"EJERCITO NACIONAL 843B LOCAL*A-128
GRANADA
MIGUEL HIDALGO
MEXICO",,11520,MEXICO,'AT260180004000010278303'
16 Jan 2026,17 Jan 2026,RESTAURAT CAMOMILA      CIUDAD DE MEX,418.00,,,RFCBBA830831LJ2 /REFFLROYMXUUKKU,RESTAURAT CAMOMILA      CIUDAD DE MEX,"C MERIDA 122
ROMA NORTE
DF
CIUDAD DE MEXICO CDMX",,06700,MEXICO,'AT260170003000010317011'
15 Jan 2026,15 Jan 2026,ALMANEGRA CAFE          CIUDAD DE MEX,44.00,,,RFCBMN930209927 /REF731626884852,ALMANEGRA CAFE          CIUDAD DE MEX,"CA ZACATECAS NO 180 E2
HIPODROMO
CIUDAD DE MEXICO CDMX",,06100,MEXICO,'AT260150004000010342021'
15 Jan 2026,15 Jan 2026,ROTOPLAS SERVICIO       CDMX,369.00,,,RFCOPE130906HN4 /REFPNBZPIZCBPHT,ROTOPLAS SERVICIO       CDMX,"5 DE FEBRERO 1351 - 202
SEQUOIA 202
FELIPE CARRILLO PUERTO
QUERETARO",,76138,MEXICO,'AT260150004000010360587'
