Fecha,Fecha de Compra,Descripción,Importe,Monto en moneda extranjera,Tipo de Cambio,Información Adicional,Aparece en su Estado de Cuenta como,Dirección,Población/Provincia,Código postal,País,Referencia
15 Feb 2026,16 Feb 2026,AMAZON MX MARKETPLACE*A MEXICO CITY,1059.88,,,RFCANE140618P37 /REFAUrdRIMxDcmMEZutgrAj,AMAZON MX MARKETPLACE*A MEXICO CITY,"MANUEL AVILA CAMACHO 36
LOMAS DE CHAPULTEPEC I SECCION
MIGUEL HIDALGO
MEXICO",,11000,MEXICO,'AT260470004000010352533'
15 Feb 2026,15 Feb 2026,AMAZON MX*AMAZON RETAIL MEXICO CITY,623.04,,,RFCANE140618P37 /REF1HShc4XKClezueKyjUel,AMAZON MX*AMAZON RETAIL MEXICO CITY,"MANUEL AVILA CAMACHO 36
LOMAS DE CHAPULTEPEC I SECCION
MIGUEL HIDALGO
MEXICO",,11000,MEXICO,'AT260460004000010318802'
15 Feb 2026,15 Feb 2026,REST LINDY              MEXICO,856.75,,,RFCTCI9904231T4 /REF731689195339,REST LINDY              MEXICO,"AV MEXICO 31
HIPODROMO
CUAUHTEMOC
MEXICO",,06100,MEXICO,'AT260460004000010299826'
15 Feb 2026,15 Feb 2026,ROTOPLAS SERVICIO       CDMX,369.00,,,RFCOPE130906HN4 /REFTZEPS8FM4W7K,ROTOPLAS SERVICIO       CDMX,"5 DE FEBRERO 1351 - 202
SEQUOIA 202
FELIPE CARRILLO PUERTO
QUERETARO",,76138,MEXICO,'AT260460004000010294676'
14 Feb 2026,14 Feb 2026,REST LINDY              MEXICO,1374.25,,,RFCTCI9904231T4 /REF821512363302,REST LINDY              MEXICO,"AV MEXICO 31
HIPODROMO
CUAUHTEMOC
MEXICO",,06100,MEXICO,'AT260450004000010384511'
13 Feb 2026,13 Feb 2026,REST EL CALIFA ALVARO   CIUDAD DE MEX,180.40,,,RFCBAF950102JP5 /REF000000001388,REST EL CALIFA ALVARO   CIUDAD DE MEX,"AV ALVARO OBREGON NO 174 5 6 7
ROMA NORTE
CIUDAD DE MEXICO CDMX
CIUDAD DE MEXICO CDMX",,06700,MEXICO,'AT260440004000010364347'
13 Feb 2026,13 Feb 2026,TELEFONOS DE MEXICO SAB CIUDAD DE MEXIC,1114.00,,,RFCTME840315KT6 /REF101564783694,TELEFONOS DE MEXICO SAB CIUDAD DE MEXIC,"PARQUE VIA 198 PISO 11
CUAUHTEMOC
CUAUHTEMOC
MEXICO",,06599,MEXICO,'AT260440004000010355486'
13 Feb 2026,14 Feb 2026,THE REST IS HISTORY     HAYWARDS HEATH,144.49,6.00 GBP,,,THE REST IS HISTORY     HAYWARDS HEATH,"""21 PERRYMOUNT ROAD, 3RD FLOOR""
HAYWARDS HEATH",,RH16,UNITED KINGDOM,'AT260450004000010378979'
13 Feb 2026,14 Feb 2026,WUZI*MONICA SANTY       MEXICO,1595.50,,,RFCPOM23101636A,WUZI*MONICA SANTY       MEXICO,"AMSTERDAM 240
MEXICO",,06140,MEXICO,'AT260450004000010373023'
10 Feb 2026,11 Feb 2026,LE PAIN QUOTIDIEN ROMA  MEXICO,341.00,,,RFCOLP080326HW2 /REF000611,LE PAIN QUOTIDIEN ROMA  MEXICO,"MONTERREY 104
ROMA
CUAUHTEMOC
MEXICO",,06700,MEXICO,'AT260420004000010310207'
10 Feb 2026,11 Feb 2026,REST LINDY              MEXICO,2139.00,,,RFCTCI9904231T4 /REF731679795441,REST LINDY              MEXICO,"AV MEXICO 31
HIPODROMO
CUAUHTEMOC
MEXICO",,06100,MEXICO,'AT260420004000010324812'
10 Feb 2026,11 Feb 2026,SIE*PLAYSTATIONNETWO    877-971-7669,246.16,13.91 USD,,,SIE*PLAYSTATIONNETWO    877-971-7669,"10TH FLOOR
6080 CENTER DR
LOS ANGELES
CA",,90045,UNITED STATES,'AT260420004000010313281'
09 Feb 2026,09 Feb 2026,ALMANEGRA CAFE          CIUDAD DE MEX,48.40,,,RFCBMN930209927 /REF731676605785,ALMANEGRA CAFE          CIUDAD DE MEX,"CA ZACATECAS NO 180 E2
HIPODROMO
CIUDAD DE MEXICO CDMX",,06100,MEXICO,'AT260400004000010344243'
09 Feb 2026,09 Feb 2026,AMAZON MX*AMAZON RETAIL MEXICO CITY,455.00,,,RFCANE140618P37 /REF3ek8uAgx72FaaYmjBUAH,AMAZON MX*AMAZON RETAIL MEXICO CITY,"MANUEL AVILA CAMACHO 36
LOMAS DE CHAPULTEPEC I SECCION
MIGUEL HIDALGO
MEXICO",,11000,MEXICO,'AT260400004000010367347'
09 Feb 2026,10 Feb 2026,RESTAURAT CAMOMILA      CIUDAD DE MEX,302.50,,,RFCBBA830831LJ2 /REFW0LDGIJ0DWYW,RESTAURAT CAMOMILA      CIUDAD DE MEX,"C MERIDA 122
ROMA NORTE
DF
CIUDAD DE MEXICO CDMX",,06700,MEXICO,'AT260410004000010348893'
08 Feb 2026,09 Feb 2026,BOUT DH EXPRESS         CUAUHTEMOC,2700.00,,,RFCBLI120726UF6 /REFP51CMW4VL5OU,BOUT DH EXPRESS         CUAUHTEMOC,"AVENIDA ALVARO OBREGON 250
CUAUHTEMOC",,06700,MEXICO,'AT260400004000010359521'
08 Feb 2026,08 Feb 2026,GEEK-HUB                BEERWAH,213.19,12.00 USD,,,GEEK-HUB                BEERWAH,"13 HILLCREST COURT
BEERWAH",,4519,AUSTRALIA,'AT260390004000010270544'
08 Feb 2026,09 Feb 2026,REST GRUPO HOTELERO HAB MIGUEL HIDALGO,517.00,,,RFCBLI120726UF6 /REFRBJ8DKPHWKAB,REST GRUPO HOTELERO HAB MIGUEL HIDALGO,"LAGO ISEO 77
MIGUEL HIDALGO",,11320,MEXICO,'AT260400004000010359385'
08 Feb 2026,08 Feb 2026,UBER EATS               HTTPS://HELP.UB,386.93,,,,UBER EATS               HTTPS://HELP.UB,"MR. TREUBLAAN 7
AMSTERDAM",,1097 DP,NETHERLANDS,'AT260390004000010276408'
08 Feb 2026,09 Feb 2026,UBER EATS               HTTPS://HELP.UB,1589.56,,,,UBER EATS               HTTPS://HELP.UB,"MR. TREUBLAAN 7
AMSTERDAM",,1097 DP,NETHERLANDS,'AT260400004000010352349'
08 Feb 2026,09 Feb 2026,ZTL*FERIA DE ARTE MATER CIUDAD DE MÉXIC,800.00,,,RFCOPM150323DI1 /REF067009439089,ZTL*FERIA DE ARTE MATER CIUDAD DE MÉXIC,"MELCHOR OCAMPO 154A
CIUDAD DE MEXICO",,06470,MEXICO,'AT260400004000010354840'
07 Feb 2026,08 Feb 2026,APPLE.COM/BILL          CUPERTINO,537.00,,,,APPLE.COM/BILL          CUPERTINO,"ONE APPLE PARKY WAY
CUPERTINO",,95014,UNITED STATES,'AT260390004000010267396'
07 Feb 2026,07 Feb 2026,FS *PUT.IO              877-327-8914,177.48,9.99 USD,,,FS *PUT.IO              877-327-8914,"801 GARDEN ST. #201
SANTA BARBARA
CA",,93101,UNITED STATES,'AT260380004000010353473'
07 Feb 2026,07 Feb 2026,MERCADOPAGO*BLENDSTATIO Cuauht?moc,300.00,,,RFCMAG2105031W3 /REF145255665402,MERCADOPAGO*BLENDSTATIO Cuauht?moc,"AMSTERDAM 282
CUAUHTEMOC",,06140,MEXICO,'AT260380004000010358884'
07 Feb 2026,07 Feb 2026,MERCADOPAGO*BNREVENTOS  CDMX,1500.00,,,RFCMAG2105031W3 /REF144608732313,MERCADOPAGO*BNREVENTOS  CDMX,"CALLE QUERETARO217
CUAUHTEMOC",,06700,MEXICO,'AT260380004000010358988'
07 Feb 2026,09 Feb 2026,NEWSHOSTING.COM         602-715-1629,1596.26,89.85 USD,,,NEWSHOSTING.COM         602-715-1629,"807 W MORSE BLVD
STE 101
WINTER PARK
FL",,32789-3726,UNITED STATES,'AT260400004000010366633'
07 Feb 2026,07 Feb 2026,RAPPI*RAPPI MEXICO      MEXICO CITY,1145.00,,,RFCTRA150604TW1 /REF34166def-7d2f-426c-b,RAPPI*RAPPI MEXICO      MEXICO CITY,"BOULEVARD MIGUEL CERVANTES SAAVEDRA
57B GRANADA
MIGUEL HIDALGO
MEXICO",,11529,MEXICO,'AT260380004000010362863'
07 Feb 2026,07 Feb 2026,REST TAVERNA            CIUDAD DE MEX,2587.50,,,RFCBAF950102JP5 /REF000000000264,REST TAVERNA            CIUDAD DE MEX,"GRAL PRIM NO 32
JUAREZ
JUAREZ
CIUDAD DE MEXICO CDMX
CIUDAD DE MEXICO CDMX",,06600,MEXICO,'AT260380004000010360263'
07 Feb 2026,08 Feb 2026,REWIRE QI               CIUDAD DE MEX,600.00,,,RFCBBA830831LJ2 /REFF1ZUTMXA0WXT,REWIRE QI               CIUDAD DE MEX,"C AMSTERDAM 317
HIPODROMO
DF
CIUDAD DE MEXICO CDMX",,06100,MEXICO,'AT260390004000010274919'
07 Feb 2026,08 Feb 2026,REWIRE QI               CIUDAD DE MEX,4000.00,,,RFCBBA830831LJ2 /REF0I6FMGXRY1D8,REWIRE QI               CIUDAD DE MEX,"C AMSTERDAM 317
HIPODROMO
DF
CIUDAD DE MEXICO CDMX",,06100,MEXICO,'AT260390004000010274920'
07 Feb 2026,08 Feb 2026,THOMPSON BEEKMAN HYATT  NEW YORK,8028.39,451.90 USD,,,THOMPSON BEEKMAN HYATT  NEW YORK,"123 NASSAU STREET
NEW YORK CITY
NY
NEW YORK",,10038,UNITED STATES,'AT260390004000010274768'
07 Feb 2026,08 Feb 2026,THOMPSON BEEKMAN HYATT  NEW YORK,-16492.76,928.34 USD,,,THOMPSON BEEKMAN HYATT  NEW YORK,"123 NASSAU STREET
NEW YORK CITY
NY
NEW YORK",,10038,UNITED STATES,'AT260390004000010274769'
07 Feb 2026,07 Feb 2026,WHITEPAPER.MX           SAN PEDRO GARZA,189.00,,,RFCSPM1410037E8 /REFCH_3SYGODL5II4PBUG50,WHITEPAPER.MX           SAN PEDRO GARZA,"AV. MANUEL GOMEZ MORIN
SAN PEDRO GARZA GARCIA",,66297,MEXICO,'AT260380004000010360973'
06 Feb 2026,06 Feb 2026,AMAZON MX MARKETPLACE*A MEXICO CITY,3999.00,,,RFCANE140618P37 /REFzxlhNbGAHnWkXZYafrQB,AMAZON MX MARKETPLACE*A MEXICO CITY,"MANUEL AVILA CAMACHO 36
LOMAS DE CHAPULTEPEC I SECCION
MIGUEL HIDALGO
MEXICO",,11000,MEXICO,'AT260370004000010333907'
06 Feb 2026,07 Feb 2026,CANOPIA                 MEXICO,1472.00,,,RFCBICR930402J11/REF000916,CANOPIA                 MEXICO,"AV MEXICO 190
HIPODROMO CONDESA
CUAUHTEMOC
MEXICO",,06100,MEXICO,'AT260380004000010349842'
06 Feb 2026,06 Feb 2026,UBER ONE MEMBERSHIP     HTTPS://HELP.UB,70.00,,,REFN6K3RCFE,UBER ONE MEMBERSHIP     HTTPS://HELP.UB,"MR. TREUBLAAN 7
AMSTERDAM",,1097 DP,NETHERLANDS,'AT260370004000010348039'
05 Feb 2026,05 Feb 2026,AMAZON MX MARKETPLACE*A MEXICO CITY,502.68,,,RFCANE140618P37 /REF3XGGkg0Y3iGDcmT3ri3h,AMAZON MX MARKETPLACE*A MEXICO CITY,"MANUEL AVILA CAMACHO 36
LOMAS DE CHAPULTEPEC I SECCION
MIGUEL HIDALGO
MEXICO",,11000,MEXICO,'AT260360004000010357162'
05 Feb 2026,05 Feb 2026,AMAZON MX MARKETPLACE*A MEXICO CITY,4346.12,,,RFCANE140618P37 /REF2SdZq1Gwln5ZVQn3Lgb5,AMAZON MX MARKETPLACE*A MEXICO CITY,"MANUEL AVILA CAMACHO 36
LOMAS DE CHAPULTEPEC I SECCION
MIGUEL HIDALGO
MEXICO",,11000,MEXICO,'AT260360004000010357087'
05 Feb 2026,06 Feb 2026,CASAS DE COMIDA DEGU S  CIUDAD DE MEX,849.85,,,RFCBBA830831LJ2 /REF10L4NV2J0O0G,CASAS DE COMIDA DEGU S  CIUDAD DE MEX,"C HUICHAPAN 25 1
HIPODROMO
DF
CIUDAD DE MEXICO CDMX",,06100,MEXICO,'AT260370004000010339525'
05 Feb 2026,05 Feb 2026,GRACIAS POR SU PAGO EN LINEA,-49900.00,,,,GRACIAS POR SU PAGO EN LINEA,,,,,'S0002603613056384668100'
05 Feb 2026,05 Feb 2026,GRACIAS POR SU PAGO EN LINEA,-49800.00,,,,GRACIAS POR SU PAGO EN LINEA,,,,,'S0002603613056383968100'
05 Feb 2026,05 Feb 2026,GRACIAS POR SU PAGO EN LINEA,-49700.00,,,,GRACIAS POR SU PAGO EN LINEA,,,,,'S0002603613056384268100'
05 Feb 2026,05 Feb 2026,GRACIAS POR SU PAGO EN LINEA,-49600.00,,,,GRACIAS POR SU PAGO EN LINEA,,,,,'S0002603613056384768100'
05 Feb 2026,05 Feb 2026,GRACIAS POR SU PAGO EN LINEA,-49500.00,,,,GRACIAS POR SU PAGO EN LINEA,,,,,'S0002603613056384468100'
05 Feb 2026,05 Feb 2026,GRACIAS POR SU PAGO EN LINEA,-20126.49,,,,GRACIAS POR SU PAGO EN LINEA,,,,,'S0002603613056383768100'
05 Feb 2026,06 Feb 2026,MERCADOPAGO*FIAMBRE     Alvaro Obreg?,1851.50,,,RFCMAG2105031W3 /REF144341127005,MERCADOPAGO*FIAMBRE     Alvaro Obreg?,"CAMINO DESIERTO DE LOS LEONES 4780
ALVARO OBREGON",,01780,MEXICO,'AT260370004000010335740'
05 Feb 2026,06 Feb 2026,NEWSHOSTING.COM         602-715-1629,1596.26,89.85 USD,,,NEWSHOSTING.COM         602-715-1629,"807 W MORSE BLVD
STE 101
WINTER PARK
FL",,32789-3726,UNITED STATES,'AT260370004000010350788'
04 Feb 2026,22 Feb 2026,CARGO POR PAGO TARDÍO,13431.32,,,,CARGO POR PAGO TARDÍO,,,,,'10000000010222999675890'
04 Feb 2026,10 Feb 2026,CGO AUT TELCEL REGION 8 MERIDA,829.17,,,RFCRDI841003QJ4,CGO AUT TELCEL REGION 8 MERIDA,"CALLE 31 N-92 POR 20 Y 18 A
MEXICO
MERIDA",,97128,MEXICO,'AT260410004000010342891'
04 Feb 2026,05 Feb 2026,GONZALITOS TAQUERIA S   CIUDAD DE MEX,338.80,,,RFCBBA830831LJ2 /REFLWBBTN2RQZZK,GONZALITOS TAQUERIA S   CIUDAD DE MEX,"C COLIMA 76 DPTO LOCAL 76
ROMA NORTE
DF
CIUDAD DE MEXICO CDMX",,06700,MEXICO,'AT260360004000010346204'
04 Feb 2026,22 Feb 2026,IVA APLICABLE,2149.01,,,,IVA APLICABLE,,,,,'10000000010222999675890'
04 Feb 2026,05 Feb 2026,OPENAI *CHATGPT SUBSCR  SAN FRANCISCO,3551.87,200.00 USD,,,OPENAI *CHATGPT SUBSCR  SAN FRANCISCO,"1455 3RD ST
SAN FRANCISCO
CA",,94158,UNITED STATES,'AT260360004000010338217'
04 Feb 2026,05 Feb 2026,REST SOLOVINO           CUAUHTEMOC,132.00,,,RFCBLI120726UF6 /REFX2ICN90WZDWG,REST SOLOVINO           CUAUHTEMOC,"POPOCATEPETL 32
CUAUHTEMOC",,06100,MEXICO,'AT260360004000010354302'
03 Feb 2026,03 Feb 2026,AMAZON MX*PRIME VIDEO C MEXICO CITY,129.00,,,RFCANE140618P37 /REF3U3vDOIegaAH2BJAljWQ,AMAZON MX*PRIME VIDEO C MEXICO CITY,"MANUEL AVILA CAMACHO 36
LOMAS DE CHAPULTEPEC I SECCION
MIGUEL HIDALGO
MEXICO",,11000,MEXICO,'AT260340004000010323444'
03 Feb 2026,04 Feb 2026,CASAS DE COMIDA DEGU S  CIUDAD DE MEX,732.55,,,RFCBBA830831LJ2 /REFTJCDDNFTENA0,CASAS DE COMIDA DEGU S  CIUDAD DE MEX,"C HUICHAPAN 25 1
HIPODROMO
DF
CIUDAD DE MEXICO CDMX",,06100,MEXICO,'AT260350004000010365546'
02 Feb 2026,03 Feb 2026,BOUT DH EXPRESS         CUAUHTEMOC,1950.00,,,RFCBLI120726UF6 /REFEVTVVKK1OP7M,BOUT DH EXPRESS         CUAUHTEMOC,"AVENIDA ALVARO OBREGON 250
CUAUHTEMOC",,06700,MEXICO,'AT260340004000010328832'
02 Feb 2026,03 Feb 2026,PRAGPROG.COM            LITTLE ELM,444.08,24.95 USD,,,PRAGPROG.COM            LITTLE ELM,"1007 FOX HOLLOW LN
LITTLE ELM
TX",,75068,UNITED STATES,'AT260340004000010318293'
02 Feb 2026,02 Feb 2026,UBER EATS               HTTPS://HELP.UB,354.36,,,,UBER EATS               HTTPS://HELP.UB,"MR. TREUBLAAN 7
AMSTERDAM",,1097 DP,NETHERLANDS,'AT260330004000010324093'
02 Feb 2026,03 Feb 2026,UBER EATS               HTTPS://HELP.UB,753.12,,,,UBER EATS               HTTPS://HELP.UB,"MR. TREUBLAAN 7
AMSTERDAM",,1097 DP,NETHERLANDS,'AT260340004000010320056'
02 Feb 2026,02 Feb 2026,VETME VETERINARIO HIPO  MEXICO,695.00,,,RFCVHV210525LM8 /REFH1IXUG3VCIEI,VETME VETERINARIO HIPO  MEXICO,"C CITLALTEPETL 5
HIPODROMO
CUAUHTEMOC
MEXICO",,06100,MEXICO,'AT260330004000010297755'
02 Feb 2026,03 Feb 2026,X CORP. PAID FEATURES   BASTROP,142.39,8.00 USD,,,X CORP. PAID FEATURES   BASTROP,"SUITE 900
1355 MARKET ST
SAN FRANCISCO
CA",,94103,UNITED STATES,'AT260340004000010327089'
01 Feb 2026,02 Feb 2026,AMAZON MX*AMAZON RETAIL MEXICO CITY,634.39,,,RFCANE140618P37 /REF2nw65ehzR2jX8cJnTvRS,AMAZON MX*AMAZON RETAIL MEXICO CITY,"MANUEL AVILA CAMACHO 36
LOMAS DE CHAPULTEPEC I SECCION
MIGUEL HIDALGO
MEXICO",,11000,MEXICO,'AT260330004000010316168'
01 Feb 2026,01 Feb 2026,AMAZON MX*AMAZON RETAIL MEXICO CITY,820.00,,,RFCANE140618P37 /REF1zBf4a0lGzBU56npHOXh,AMAZON MX*AMAZON RETAIL MEXICO CITY,"MANUEL AVILA CAMACHO 36
LOMAS DE CHAPULTEPEC I SECCION
MIGUEL HIDALGO
MEXICO",,11000,MEXICO,'AT260320004000010284460'
